YearBuilt,TotRmsAbvGrd,OverallQual,GarageArea,GrLivArea,OverallCond,SalePrice
2006,7,8,776,1489,5,232600
2007,7,10,1220,2084,5,385000
1924,5,5,0,784,6,109500
2001,6,7,527,1434,5,189000
1967,7,5,538,2126,5,185000
2005,4,7,480,1223,5,147400
1957,6,6,458,1392,5,166000
2005,4,7,480,1200,5,151000
2003,7,7,613,1829,6,237000
1964,6,6,472,1516,6,167000
1961,6,5,456,1144,6,139950
1950,4,4,436,1067,7,128000
1948,5,5,812,1559,6,153500
1973,5,6,264,987,5,100000
1995,6,5,352,1099,6,144000
1946,6,5,240,1200,6,130500
1925,7,6,400,1482,8,140000
1904,8,5,686,1539,8,157500
1966,6,6,490,1165,7,174900
1961,10,5,0,1800,4,141000
1915,7,5,720,1416,8,153900
1975,6,5,611,1701,5,171000
1993,7,7,425,1775,5,213000
1972,5,5,338,864,6,133500
1908,10,6,360,2358,8,240000
1976,7,6,512,1855,7,187000
2003,3,6,420,848,5,131500
2003,7,8,400,1456,5,215000
1941,7,7,240,1646,5,164000
1964,7,6,645,1445,6,158000
1955,6,5,454,1779,4,170000
1962,6,5,260,1040,8,127000
1978,5,6,576,1026,6,147000
1994,6,6,343,1481,5,174000
1976,6,7,479,1370,5,152000
1968,9,6,619,2654,7,250000
1918,7,7,216,1426,8,189950
1965,6,5,504,1039,4,131500
1984,6,6,480,1097,5,152000
1959,6,5,672,1148,5,132500
2007,6,7,529,1372,5,250580
1970,5,5,902,1002,6,148500
2006,6,8,870,1646,5,248900
1961,5,4,544,1120,5,129000
1948,7,5,672,2320,6,169000
1993,8,7,574,1949,5,236000
1962,5,5,308,894,5,109500
1998,7,6,523,1682,5,200500
1953,5,5,414,910,7,116000
1949,6,5,288,1268,7,133000
1941,5,5,200,1131,6,66500
2007,11,8,550,2610,5,303477
1963,5,4,648,1040,5,132250
2004,10,9,738,2224,5,350000
1961,6,5,576,1155,7,148000
1978,6,5,336,864,8,136500
2005,5,5,450,1090,5,157000
1990,7,7,400,1717,5,187500
1992,7,6,389,1593,5,178000
1912,10,4,440,2230,5,118500
1967,5,5,288,892,5,100000
1999,5,9,506,1709,5,328900
1959,8,5,588,1712,5,145000
1955,8,5,300,1393,7,135500
1970,8,8,621,2217,6,268000
1953,6,6,505,1505,4,149500
1949,6,5,576,924,7,122900
1978,7,6,440,1683,5,172500
1963,6,6,264,1068,8,154500
1954,6,5,354,1383,5,165000
1979,8,5,400,1535,5,118858
1963,8,6,483,1796,5,140000
1936,6,4,327,951,6,106500
1979,12,5,528,2240,5,142953
2009,11,9,820,2364,5,611657
1961,6,5,288,1236,7,135000
1971,4,4,684,858,6,110000
1957,5,5,756,1306,7,153000
2003,8,7,393,1509,5,180000
2006,7,7,690,1670,5,240000
1967,6,5,288,902,6,125500
1954,6,5,280,1063,5,128000
2006,8,8,865,1636,5,255000
1936,6,7,180,2057,7,250000
1983,5,5,484,902,5,131000
2005,8,6,390,1484,5,174000
1960,12,5,480,2274,5,154300
1977,5,5,252,1268,7,143500
1925,6,5,450,1015,7,88000
1949,8,5,871,2002,6,145000
2009,4,6,528,1224,5,173733
1970,6,4,286,1092,5,75000
1949,4,2,308,480,3,35311
1956,6,4,284,1229,6,135000
1991,8,7,833,2127,5,238000
1958,6,6,601,1414,8,176500
1994,7,6,471,1721,5,201000
1900,9,5,0,2200,7,145900
2005,6,6,397,1316,5,169990
1993,5,6,533,1617,5,193000
1980,7,6,612,1686,6,207500
1977,6,5,540,1126,6,175000
2003,10,8,656,2374,5,285000
1968,9,7,486,1978,5,176000
2001,7,8,522,1788,5,236500
1997,8,7,642,2236,5,222000
2007,7,8,610,1466,5,201000
1965,5,5,429,925,6,117500
2006,8,9,788,1905,5,320000
2004,6,7,570,1500,5,190000
1960,9,7,505,2069,7,242000
1926,5,4,528,747,5,79900
2003,5,7,555,1200,5,184900
2005,8,7,689,1971,5,253000
2006,7,7,868,1962,5,239799
1940,10,7,349,2403,7,244400
1976,8,6,574,1728,5,150900
1999,8,7,390,2060,5,214000
1977,8,4,0,1440,3,150000
1967,8,5,576,1632,4,143000
1958,7,6,525,1344,6,137500
1890,7,5,456,1869,6,124900
1959,6,5,796,1144,6,143000
2002,9,8,808,1629,5,270000
2002,7,7,474,1776,5,192500
1972,5,6,676,1381,7,197500
1950,5,5,720,864,8,129000
1965,6,5,300,965,5,119900
1972,5,5,396,768,8,133900
1969,7,5,530,1968,4,172000
1975,4,6,0,980,5,127500
1946,8,6,492,1958,6,145000
1980,5,6,462,1229,6,124000
1962,6,5,576,1057,5,132000
2003,6,7,531,1337,5,185000
1999,6,7,484,1416,5,155000
1958,4,5,0,858,7,116500
1977,11,6,619,2872,7,272000
1976,7,6,440,1548,6,155000
2007,7,9,702,1800,5,239000
2002,8,7,510,1894,5,214900
2005,8,6,393,1484,5,178900
1940,7,5,256,1308,7,160000
1955,6,5,260,1098,7,135000
1910,6,3,0,968,6,37900
1958,6,6,264,1095,5,140000
1949,6,4,0,1192,4,135000
2003,6,7,474,1626,5,173000
1979,5,6,264,918,5,99500
2007,6,7,480,1428,5,182000
1910,8,7,532,2019,8,167500
2000,6,7,490,1382,5,165000
1923,4,4,0,869,7,85500
2006,4,7,569,1241,5,199900
1954,5,4,400,894,5,110000
1963,5,5,480,1121,6,139000
1961,6,7,588,999,9,178400
1998,8,8,676,2612,5,336000
2007,6,7,388,1266,5,159895
2002,9,8,779,2290,5,255900
1977,8,5,539,1734,5,126000
1950,5,5,240,1164,5,125000
1910,5,6,255,1635,8,117000
2009,8,9,606,1940,5,395192
1976,8,6,551,2030,6,195000
2006,6,7,614,1576,5,197000
1997,7,8,870,2392,5,348000
1882,8,8,424,1742,9,168000
1964,7,6,440,1851,8,187000
2005,6,6,564,1500,5,173900
2006,7,10,786,1718,5,337500
1946,5,4,305,1230,7,121600
1961,6,5,368,1050,6,136500
1970,6,6,615,1442,6,185000
1922,6,3,210,1077,4,91000
2006,6,7,632,1208,5,206000
1952,4,3,528,944,3,82000
1920,4,5,216,691,6,86000
2006,7,8,824,1574,5,232000
1976,8,5,528,1680,6,136905
2005,7,7,457,1504,5,181000
1977,6,5,328,985,8,149900
1970,7,6,484,1657,3,163500
1970,6,4,286,1092,4,88000
2004,7,7,550,1710,5,240000
1926,7,5,0,1522,5,102000
1948,7,5,312,1271,5,135000
1965,8,5,0,1664,5,100000
1923,7,6,180,1502,7,165000
1910,4,5,280,1022,4,85000
1948,5,6,240,1082,5,119200
2001,6,8,528,1665,6,227000
1996,6,7,478,1504,5,203000
1984,4,8,565,1360,5,187500
1991,7,7,402,1472,5,160000
2005,6,7,440,1506,5,213490
2005,5,4,451,1132,5,176000
2006,6,7,632,1220,5,194000
1930,6,5,160,1248,5,87000
2005,7,7,437,1504,5,191000
1976,10,8,665,2898,6,287000
1972,5,5,461,882,5,112500
1960,6,5,461,1264,5,167500
2007,7,8,800,1646,5,293077
1941,6,5,240,1376,5,105000
1972,7,6,264,1218,7,118000
1916,10,5,0,1928,8,160000
1920,12,7,672,3082,3,197000
1993,10,8,796,2520,7,310000
2002,6,7,900,1654,5,230000
1938,5,5,240,954,7,119750
1957,5,4,290,845,3,84000
2007,6,9,912,1620,5,315500
2001,7,8,905,2263,5,287000
1970,6,4,0,1344,6,97000
1970,3,4,286,630,4,80000
1957,8,5,484,1803,4,155000
1966,7,6,484,1632,8,173000
2005,5,6,624,1306,5,196000
1990,10,7,514,2329,5,262280
1981,9,8,542,2524,5,278000
1955,8,3,452,1733,5,139600
2005,11,9,716,2868,5,556581
1994,5,5,672,990,5,145000
1960,9,5,336,1771,4,115000
1946,6,4,308,930,7,84900
2007,6,7,436,1302,5,176485
2007,6,7,440,1316,5,200141
1964,9,6,540,1977,6,165000
1957,7,5,364,1526,6,144500
2002,7,8,586,1989,5,255000
1976,7,6,478,1523,5,180000
2005,6,7,484,1364,5,185850
1994,7,7,467,1850,6,248000
2008,10,9,836,2184,5,335000
1932,7,6,432,1991,7,220000
2001,6,8,582,1338,5,213500
1935,6,3,1248,894,4,81000
1900,10,5,560,2337,5,90000
1925,5,6,440,1103,6,110500
1966,6,5,480,1154,6,154000
1996,7,7,533,2260,5,328000
1993,7,6,380,1571,7,178000
1964,7,6,442,1611,6,167900
1973,10,6,576,2521,4,151400
1949,4,5,576,893,7,135000
1956,6,5,286,1048,5,135000
1968,8,6,441,1556,6,154000
1948,7,5,280,1456,3,91500
1977,6,6,440,1426,6,159500
2006,5,7,826,1240,5,194000
1940,6,7,240,1740,6,219500
1936,7,5,566,1466,8,170000
1969,6,5,299,1096,5,138800
2004,3,6,420,848,5,155900
1994,5,5,299,990,5,126000
1971,5,6,528,1258,7,145000
1963,5,5,308,1040,5,133000
2002,6,7,527,1459,5,192000
1964,6,6,461,1251,6,160000
1995,6,6,409,1498,5,187500
1992,5,6,564,996,6,147000
1973,6,4,286,1092,5,83500
2005,9,8,1043,1953,5,252000
2004,7,7,380,1709,5,137500
2005,4,8,550,1247,5,197000
1950,6,3,400,1040,4,92900
1999,4,7,462,1252,5,160000
1925,7,6,576,1694,5,136500
1965,6,5,884,1200,8,146000
1956,4,5,308,936,7,129000
2006,6,6,440,1314,5,176432
1914,7,6,0,1355,7,127000
1986,5,8,461,1088,5,170000
1936,6,4,240,1324,6,128000
1978,7,7,478,1601,5,157000
1920,3,2,246,438,5,60000
1971,5,5,280,950,5,119500
1960,6,5,254,1134,7,135000
1959,6,6,539,1194,6,159500
1970,6,5,440,1302,5,106000
1994,9,8,712,2622,5,325000
1990,6,7,719,1442,5,179900
2006,9,7,422,2021,5,274725
2000,7,6,463,1690,5,181000
2004,7,8,862,1836,5,280000
1995,8,6,431,1658,5,188000
1976,8,7,483,1964,6,205000
1957,5,5,308,816,7,129900
1953,6,5,240,1008,7,134500
1954,4,5,326,833,7,117000
2007,7,8,928,1734,5,318000
2002,7,8,527,1419,5,184100
1967,5,5,450,894,7,130000
1958,6,5,300,1601,6,140000
1959,6,5,286,1040,5,133700
1920,6,6,308,1012,5,118400
2005,7,7,782,1552,5,212900
1956,5,4,288,960,3,112000
1947,4,5,0,698,9,118000
1992,7,7,392,1482,5,163900
1955,5,4,672,1005,5,115000
2007,7,7,660,1555,5,174000
2004,7,7,630,1530,5,259000
2004,8,7,434,1959,5,215000
1980,4,5,672,936,5,140000
1928,7,4,576,1981,3,135000
1991,5,5,0,974,5,93500
1880,8,6,205,2210,4,117500
1995,8,8,466,2020,5,239500
1997,7,6,460,1600,5,169000
1926,5,6,180,986,5,102000
1950,6,6,288,1252,5,119000
1875,6,5,0,1020,8,94000
1977,5,6,714,1567,5,196000
1920,6,5,495,1167,5,144000
1951,4,5,840,952,7,139000
1976,9,5,484,1868,7,197500
2006,11,8,1052,2828,5,424870
1959,5,5,0,1006,3,80000
1941,5,4,280,924,4,80000
1928,8,5,225,1576,6,149000
1985,5,6,403,1298,5,180000
1941,7,7,234,1564,7,174500
1926,5,7,288,1111,7,116900
1920,7,7,324,1482,9,143000
1950,4,6,306,932,5,124000
1959,6,5,528,1466,4,149900
1956,6,6,470,1811,7,230000
1930,5,6,432,816,8,120500
1965,8,7,492,1820,6,201800
1976,6,5,528,1437,8,218000
1965,6,5,502,1265,8,179900
2007,6,7,626,1314,5,230000
2007,7,8,830,1580,5,235128
1974,8,6,540,1876,6,185000
1978,7,6,440,1456,5,146000
1954,7,6,924,1640,7,224000
1968,5,5,450,894,5,129000
1969,6,4,400,1258,4,108959
1978,5,5,588,1432,7,194000
2009,7,7,644,1502,5,233170
2008,7,8,776,1694,5,245350
2000,7,6,472,1671,5,173000
1935,7,6,540,2108,7,235000
1995,10,10,807,3627,5,625000
1977,6,6,358,1118,6,171000
1958,6,6,433,1261,6,163000
2006,5,7,625,1250,5,171900
1946,12,5,0,3086,6,200500
1932,9,6,360,2345,8,239000
1992,9,8,541,2872,5,285000
1984,5,5,264,923,5,119500
1926,5,6,210,1224,8,115000
1921,7,5,186,1343,6,154900
1954,5,5,0,1124,5,93000
1990,8,7,693,2514,5,250000
2008,5,8,482,1652,5,392500
1996,10,10,813,4476,5,745000
1920,5,5,720,1130,6,120000
1963,5,5,995,1572,4,186700
1924,7,5,392,1221,7,104900
1900,7,3,420,1699,5,95000
1994,5,8,757,1624,5,262000
2002,7,7,493,1660,5,195000
1999,7,7,442,1804,5,189000
1961,7,4,1356,1622,4,168000
1999,5,8,492,1441,5,174000
1925,6,5,250,1472,8,125000
1999,5,6,402,1224,5,165000
1969,7,6,299,1352,7,158000
2005,8,6,400,1456,5,176000
2006,9,7,660,1863,5,219210
1916,7,7,225,1690,6,144000
2001,6,7,573,1212,5,178000
1963,6,4,459,1382,5,148000
1970,5,4,280,864,5,116050
1998,6,7,546,1779,5,197900
1925,5,5,216,1348,8,117000
2000,6,7,451,1630,5,213000
1975,6,5,495,1074,6,153500
1990,7,7,701,2196,7,271900
1966,5,4,384,1056,4,107000
2003,7,6,544,1700,5,200000
1962,6,5,506,1283,7,140000
2006,8,8,500,1660,5,290000
1992,8,6,462,1845,5,189000
1988,8,8,492,1752,7,164000
1941,4,4,234,672,6,113000
1965,3,4,364,960,9,145000
1962,6,5,300,999,5,134500
1966,5,5,384,894,5,125000
1978,8,6,539,1902,5,112000
2009,6,8,552,1314,5,229456
1947,3,4,0,912,5,80500
1971,7,6,0,1218,5,91500
1964,5,5,288,912,5,115000
1968,5,5,322,1211,5,134000
1949,7,6,315,1846,6,143000
1951,7,5,528,2136,3,137900
2004,8,7,388,1490,5,184000
1958,6,6,264,1138,8,145000
2007,9,6,668,1933,5,214000
1965,5,5,576,912,8,147000
2008,7,9,1052,1702,5,367294
1960,7,5,404,1507,5,127000
1977,12,5,600,2620,5,190000
1962,6,5,540,1190,6,132500
1962,6,4,462,1224,5,101800
1959,6,5,531,1188,5,142000
1911,7,5,0,1964,6,130000
1914,9,5,180,1784,5,138887
2003,6,7,474,1626,5,175500
2004,8,7,434,1948,5,195000
2005,6,6,484,1141,5,142500
2006,6,8,472,1484,5,265900
2003,8,7,543,1768,5,224900
2007,7,7,954,1689,6,248328
1974,6,7,528,1173,6,170000
2006,7,10,850,2076,5,465000
1929,7,8,400,1517,7,230000
1984,7,6,477,1868,7,178000
2005,6,7,615,1553,5,186500
1976,6,6,888,1034,5,169900
1917,8,6,396,2058,5,129500
1950,6,5,276,988,7,119000
1968,8,7,522,2110,5,244000
2003,6,7,478,1405,5,171750
1968,5,5,288,874,6,130000
1974,9,7,518,2167,7,294000
2003,7,7,397,1656,5,165400
1931,6,6,560,1367,6,127500
1994,7,8,691,1987,5,301500
1922,4,5,0,864,8,99900
2005,5,7,400,1166,5,190000
1969,6,6,460,1054,8,151000
1999,7,6,502,1675,5,181000
1956,5,5,338,1050,6,128900
1957,8,4,304,1788,5,161500
1919,8,6,520,1824,6,180500
1998,5,6,511,1337,5,181000
1999,6,7,506,1452,5,183900
1910,9,7,308,1889,4,122000
2008,10,9,746,2018,5,378500
1935,11,8,1014,3447,9,381000
1958,7,5,315,1524,5,144000
1979,4,7,586,1524,6,260000
1968,7,6,462,1489,7,185750
1965,5,5,288,935,6,137000
1959,5,6,312,1357,7,177000
1910,8,5,552,1250,6,139000
1948,10,5,400,1920,5,137000
1972,6,6,497,1395,6,162000
1967,7,6,480,1724,5,197900
2002,7,8,577,2031,5,237000
1920,6,4,528,1128,4,68400
2002,6,7,544,1573,5,227000
1990,6,7,484,1339,5,180000
1977,5,5,484,1040,7,150500
1971,8,6,0,1824,5,139000
1919,10,6,336,2447,7,169000
1939,6,6,280,1412,6,132500
1963,6,6,528,1328,5,143000
1964,7,5,390,1582,5,190000
2000,5,8,499,1659,5,278000
2006,8,8,753,1970,5,281000
1964,6,5,484,1152,7,180500
1972,6,5,264,1302,7,119500
1892,11,5,432,2372,4,107500
1976,8,7,528,1664,5,162900
1955,5,5,572,864,7,115000
1968,5,5,288,1052,5,138500
1963,6,5,525,1128,6,155000
2005,5,6,525,1072,5,140000
2008,12,10,1418,5642,5,160000
1959,6,5,305,1246,7,154000
1999,9,7,490,1983,5,225000
1942,7,6,213,1494,7,177500
1994,8,8,844,2526,5,290000
2005,7,7,834,1616,5,232000
2004,7,7,380,1708,5,130000
2006,6,9,840,1652,5,325000
2005,6,7,474,1368,5,202500
1994,5,5,480,990,5,138000
1948,6,5,528,1122,7,147000
1991,6,6,496,1294,5,179200
1959,7,7,567,1902,8,335000
2005,6,7,508,1274,5,203000
1990,9,8,750,2810,5,302000
1999,10,9,779,2599,5,333168
1954,5,4,280,948,6,119000
1969,9,6,576,2112,5,206900
2008,8,8,860,1630,5,295493
2006,5,7,466,1352,5,208900
2001,7,8,748,1787,5,275000
1954,5,4,248,948,5,111000
1957,6,6,442,1478,3,156500
1949,4,3,287,720,6,72500
1992,8,7,564,1923,5,190000
1940,5,4,0,708,7,82500
2006,7,8,895,1795,5,147000
1922,5,4,0,796,4,55000
1931,6,3,0,774,6,79000
1982,5,5,264,816,9,130500
1920,8,6,520,2792,7,256000
1998,8,7,462,1632,5,176500
2006,7,8,825,1588,5,227000
1976,6,5,576,954,5,132500
1938,3,4,288,816,6,100000
1938,6,5,297,1360,6,125500
1970,7,5,440,1365,6,125000
1977,6,6,630,1334,5,167900
1973,8,5,506,1656,5,135000
1941,4,4,0,693,4,52500
2002,8,7,492,1861,5,200000
1972,5,5,288,864,7,128500
1971,5,4,480,872,5,123000
2003,6,6,576,1114,5,155000
2002,7,8,647,2169,5,228500
1928,9,6,342,1913,6,177000
2006,8,7,440,1456,5,155835
1920,5,4,308,960,4,108500
1968,9,7,508,2156,7,262500
2006,7,8,712,1776,5,283463
1998,5,7,514,1494,5,215000
1872,8,8,0,2358,5,122000
1969,12,5,968,2634,5,200000
1962,8,6,490,1716,6,171000
1937,4,6,624,1176,9,134900
1995,9,8,666,3238,5,410000
2000,7,7,839,1865,5,235000
1968,8,7,487,1920,6,170000
1966,5,5,264,892,5,110000
1971,6,5,500,1078,6,149900
2000,5,6,440,1573,5,177500
2004,8,9,770,1980,5,315000
1921,8,5,621,2601,6,189000
2005,7,7,430,1530,5,260000
1920,7,4,368,1738,4,104900
2006,6,6,432,1412,5,156932
2005,4,7,480,1200,5,144152
2000,7,7,663,1674,5,216000
1999,7,7,588,1790,5,193000
1977,6,5,336,1475,6,127000
2003,4,6,420,848,5,144000
2003,8,8,502,1668,5,232000
1920,6,4,338,1374,6,105000
1955,8,6,377,1661,6,165500
1998,8,7,583,2097,6,274300
2001,8,10,804,2633,5,466500
2005,9,7,936,1958,5,250000
2007,7,8,722,1571,5,239000
1930,4,6,160,790,5,91000
1941,6,5,660,1604,5,117000
1973,5,6,264,987,5,83000
2006,7,5,400,1394,5,167500
1914,5,3,200,864,3,58500
1970,7,6,550,2117,7,237500
1920,8,7,576,1762,7,157000
1918,7,5,576,1416,7,112000
1939,6,6,280,1258,5,105000
1922,7,4,240,1154,8,125500
1978,12,7,564,2784,5,250000
1916,10,6,216,2526,7,136000
2006,7,9,758,1746,5,377500
1941,6,6,440,1218,6,131000
2000,6,7,541,1525,5,235000
1967,8,5,792,1584,5,124000
1967,6,5,288,900,5,123000
1905,7,6,672,1912,7,163000
2006,6,7,648,1500,5,246578
2005,9,8,642,2482,5,281213
1948,7,5,572,1687,5,160000
1920,8,5,180,1513,8,137500
1950,7,5,240,1904,4,138000
1925,7,6,216,1608,6,137450
1929,5,6,208,1158,7,120000
2004,8,6,398,1593,5,193000
2006,6,7,662,1294,5,193879
2007,6,8,754,1464,5,282922
1915,6,3,936,1214,4,105000
2004,5,8,482,1646,5,275000
1972,5,5,396,768,7,133000
1985,5,5,0,833,5,112000
1910,6,4,528,1363,7,125500
1986,7,7,542,2093,6,215000
2001,6,7,622,1840,5,230000
1950,6,6,271,1668,8,140000
1949,6,4,420,1040,5,90000
2005,7,8,620,1844,5,257000
1923,8,6,370,1848,7,207000
2007,7,7,660,1569,5,175900
1885,11,4,560,2290,6,122500
1998,7,8,1069,2450,5,340000
1963,6,5,336,1144,5,124000
1969,7,6,540,1844,5,223000
1968,7,6,776,1416,6,179900
1977,4,6,440,1069,5,127500
2003,3,6,420,848,5,136500
1966,8,6,432,2201,7,274970
1958,6,5,484,1344,5,144000
1959,7,6,528,1252,6,142000
1994,5,7,525,2127,5,271000
1945,6,5,288,1558,6,140000
1940,4,5,240,804,7,119000
1981,7,6,467,1440,7,182900
2005,7,5,372,1838,5,192140
1976,5,6,440,958,6,143750
1927,5,4,216,968,6,64500
2000,8,6,451,1792,5,186500
1977,5,5,484,1126,5,160000
1962,7,6,462,1537,9,174000
1971,5,4,528,864,6,120500
2008,7,8,774,1932,5,394617
1957,6,6,923,1236,7,149700
1979,6,7,550,1725,6,197000
1922,11,6,672,2555,7,191000
2004,3,6,420,848,5,149300
2008,10,10,812,2007,5,310000
1916,4,6,192,952,6,121000
2004,7,7,626,1422,5,179600
1966,6,6,240,913,5,129000
1962,6,5,312,1188,7,157900
1995,8,8,556,2090,5,240000
1910,6,4,384,1346,7,112000
1970,3,5,0,630,7,92000
1974,8,5,0,1792,5,136000
2008,7,8,840,1578,5,287090
2005,5,5,525,1072,5,145000
2006,6,5,0,1140,5,84500
2004,6,7,400,1221,5,185000
1999,7,6,460,1647,5,175000
1978,7,6,500,2073,6,210000
1941,9,7,252,2340,9,266500
1950,5,5,240,1078,6,142125
1965,6,5,276,1256,6,147500
